#Bolo Name   Readout Address   SQUID Address   DIO column     Rel X Rel Y  
 N29(D6)    f0:rb3   f0:sa5  235   -84.00000   41.56922
 N29(D5)    f0:rb4   f0:sa5  236   -96.00000   41.56922
 N29(D4)    f0:rb5   f0:sa5  237   -18.00000   31.17692
 N29(D3)    f0:rb6   f0:sa5  238   -30.00000   31.17692
 N29(D2)    f0:rb7   f0:sa5  239   -42.00000   31.17692
 N29(D1)    f0:rb8   f0:sa5  240   -54.00000   31.17692
 N29(E8)    f1:ra1   f0:sa6  241   -66.00000   31.17692
 N29(E7)    f1:ra2   f0:sa6  242   -78.00000   31.17692
 N29(E6)    f1:ra3   f0:sa6  243   -90.00000   31.17692
 N29(E5)    f1:ra4   f0:sa6  244   -102.00000   31.17692
 N29(E4)    f1:ra5   f0:sa6  245   -12.00000   20.78461
 N29(E3)    f1:ra6   f0:sa6  246   -24.00000   20.78461
 N29(E2)    f1:ra7   f0:sa6  247   -36.00000   20.78461
 N29(E1)    f1:ra8   f0:sa6  248   -48.00000   20.78461
 N29(F8)    f1:rb1   f0:sa7  249   -60.00000   20.78461
 N29(F7)    f1:rb2   f0:sa7  250   -72.00000   20.78461
 N29(F6)    f1:rb3   f0:sa7  251   -84.00000   20.78461
 N29(F5)    f1:rb4   f0:sa7  252   -96.00000   20.78461
 N29(F4)    f1:rb5   f0:sa7  253   -108.00000   20.78461
 N29(F3)    f1:rb6   f0:sa7  254   -6.00000   10.39231
 N29(F2)    f1:rb7   f0:sa7  255   -18.00000   10.39231
 N29(F1)    f1:rb8   f0:sa7  256   -30.00000   10.39231
 N29(G8)    f2:ra1   f0:sa8  257   -42.00000   10.39231
 N29(G7)    f2:ra2   f0:sa8  258   -54.00000   10.39231
 N29(G6)    f2:ra3   f0:sa8  259   -66.00000   10.39231
 N29(G5)    f2:ra4   f0:sa8  260   -78.00000   10.39231
 N29(G4)    f2:ra5   f0:sa8  261   -90.00000   10.39231
 N29(G3)    f2:ra6   f0:sa8  262   -102.00000   10.39231
 N29(G2)    f2:ra7   f0:sa8  263   -114.00000   10.39231
  P4(A8)    f2:rb1   f3:sa2  265   60.00000   103.92305
  P4(A7)    f2:rb2   f3:sa2  266   54.00000   93.53074
  P4(A6)    f2:rb3   f3:sa2  267   48.00000   103.92305
  P4(A5)    f2:rb4   f3:sa2  268   48.00000   83.13844
  P4(A4)    f2:rb5   f3:sa2  269   42.00000   93.53074
  P4(A3)    f2:rb6   f3:sa2  270   36.00000   103.92305
  P4(A2)    f2:rb7   f3:sa2  271   42.00000   72.74613
