# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-04-04.86	0851+202	test	19.87	2.1	0.662	0.0513 97	26.1	-1.3	0.00 0.60 -1.26	161 72	8.9 20	-15.6	-0.8 -0.1	2.3 -41.7	1.83 0.021	1.77 0.015	15.8 0.2	-14.6 3.4
2014-04-04.87	0851+202	test	19.96	2.1	0.763	0.0684 83	25.9	-1.3	0.00 0.60 -1.26	165 72	8.9 20	-12.2	-0.8 1.2	3.4 -40.6	1.84 0.025	1.70 0.020	15.5 0.2	-14.9 -1.7
2014-04-04.88	0851+202	test	20.04	2.1	1.104	0.0270 98	25.9	-1.3	0.00 0.60 -1.26	168 73	8.9 20	-9.2	-1.4 1.0	3.8 -41.1	2.37 0.015	2.49 0.012	16.0 0.1	-4.1 6.7
2014-04-04.89	0851+202	test	20.10	2.1	1.104	0.0603 93	26.1	-1.3	0.00 4.00 -1.26	171 73	8.9 20	-6.7	-5.2 3.7	0.9 -38.8	1.47 0.023	1.49 0.027	16.1 0.2	13.6 -15.5
#2014-04-04.90	0851+202	test	20.17	2.1	0.718	0.4327 46	26.1	-1.3	0.00 -1.00 -1.26	174 73	8.9 20	-4.0	-3.9 100.4	-0.9 55.2	1.36 0.13	0.817 0.31	12.0 1.1	-61.9 34.8
# Fri Apr  4 20:20:31 UTC 2014 - foggy conditions - RE
2014-04-04.91	1156+295	test	20.37	2.1	0.950	0.0323 86	25.4	-1.3	0.00 -1.00 -1.26	89 52	12.0 29	-66.0	-3.7 -0.5	-12.3 -66.2	0.515 8.9E-3	0.428 9.6E-3	15.5 0.3	4.1 -1.4
#2014-04-04.94	1156+295	test	20.60	2.1	0.905	0.1874 46	25.4	-1.3	0.00 -1.00 -1.26	91 55	12.0 29	-66.0	-40.5 31.6	-45.2 -35.1	0.645 0.034	0.0834 0.13	8.9 0.5	-12.6 -4.9
2014-04-04.96	1156+295	test	20.74	10.1	0.949	0.0380 67	77.1	-1.2	0.00 -1.00 -1.26	92 56	12.0 29	-65.9	-1.4 0.5	-12.2 -61.4	0.497 9.4E-3	0.600 0.022	19.7 0.4	-13.6 -5.7
2014-04-04.97	1156+295	test	21.15	2.1	0.760	0.0227 97	25.2	-1.1	0.00 -1.00 -1.26	96 61	12.0 29	-65.2	0.4 -0.0	-11.7 -57.0	0.494 6.3E-3	0.419 5.4E-3	15.9 0.2	6.4 6.6
2014-04-04.98	1308+326	test	21.31	2.1	0.807	0.0152 94	25.4	-0.9	0.00 -1.00 -1.26	82 50	13.2 32	-69.2	-3.2 -0.8	-11.8 -69.3	0.652 5.1E-3	0.601 5.1E-3	16.1 0.1	5.8 -7.6
2014-04-04.99	1308+326	test	21.40	2.9	0.680	0.0436 90	20.1	-0.9	0.00 -1.00 -1.26	83 51	13.2 32	-69.5	-2.7 0.6	-11.8 -67.2	0.626 8.7E-3	0.590 0.014	17.6 0.2	-17.8 -6.2
2014-04-04.100	1308+326	test	21.49	2.1	0.742	0.0178 93	25.4	-0.9	0.00 -1.00 -1.26	83 52	13.2 32	-69.6	-3.4 -0.1	-13.0 -67.0	0.630 5.0E-3	0.536 4.2E-3	16.0 0.1	12.1 -1.6
# Fri Apr  4 21:35:27 UTC 2014 - set pointing -11.3 12.5 - RE
2014-04-04.102	1418+546	test	21.78	2.1	0.787	0.0183 89	25.6	-0.9	0.00 -1.00 -1.26	47 47	14.3 54	-89.1	-0.5 0.3	-12.6 -82.1	0.932 8.0E-3	0.887 6.7E-3	16.1 0.1	-2.3 -7.0
# Fri Apr  4 21:59:30 UTC 2014 - foggy conditions - RE
# Sat Apr  5 00:56:28 UTC 2014 - Nitrogen refilled. Still very foggy conditions. - RE
#2014-04-05.3	1418+546	test	1.10	2.1	0.793	0.1761 50	26.0	-0.6	0.00 -1.00 -1.26	16 72	14.3 54	-157.9	-49.5 50.8	-63.2 -27.5	5.41 0.28	0.329 0.14	6.2 0.3	8.8 -12.0
#2014-04-05.5	0716+714	test	1.34	2.1	1.295	0.0519 80	25.9	-0.6	0.00 -1.00 -1.26	-22 32	7.4 71	68.1	112.7 61.3	117.6 -43.2	0.958 0.020	0.284 0.11	14.6 0.3	19.8 -13.3
# Sat Apr  5 02:15:29 UTC 2014 - Trying a pointing in Mars - RE
2014-04-05.8	Mars	test	2.25	2.1	0.625	0.5446 50	25.8	-0.5	0.00 -1.00 -1.26	-147 42	13.3 -6	26.0	-9.1 -1.7	8.7 -76.7	224 7.7	451 15	24.3 0.7	-8.4 11.5
2014-04-05.10	Mars	test	2.33	2.1	0.618	0.5759 47	25.9	-0.6	0.00 -1.00 -1.26	-146 41	13.3 -6	26.9	-7.9 -5.5	9.8 -81.1	175 5.1	201 4.0	20.6 0.6	-23.0 33.8
2014-04-05.11	Mars	test	2.36	2.1	0.814	0.1248 56	25.7	-0.5	0.00 -1.00 -1.26	-145 41	13.3 -6	27.4	-5.7 -3.3	12.6 -79.3	244 1.1	378 2.1	21.8 0.1	-7.8 9.8
