# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-14.156	J0909+014	22.60	1.8	0.364	0.0235 93	38.0	5.2	-124 38	9.2 1	41.7	16.0 -4.0	-13.6 -72.5	1.15 5.2E-3	1.23 8.4E-3	17.5 0.1
2011-04-14.160	J0948+004	23.16	1.9	0.367	0.0190 96	37.9	4.9	-126 38	9.8 0	40.3	15.2 -3.4	-14.5 -71.4	0.339 4.2E-3	0.336 5.4E-3	16.8 0.2
2011-04-14.161	J0909+014	23.21	1.9	0.340	0.0189 93	37.9	4.9	-116 32	9.2 1	46.1	14.2 -5.5	-17.9 -81.3	1.08 4.2E-3	1.17 7.1E-3	17.6 0.1
2011-04-14.165	J0948+004	23.77	1.9	0.344	0.0180 94	37.9	4.8	-118 32	9.8 0	45.0	13.9 -4.3	-18.1 -79.3	0.357 4.5E-3	0.347 5.3E-3	16.5 0.2
2011-04-14.166	J0909+014	23.81	1.9	0.295	0.0246 90	38.0	4.7	-109 25	9.2 1	49.2	12.5 -7.1	-22.1 -89.4	1.06 7.0E-3	1.13 8.2E-3	17.6 0.1
2011-04-15.3	1418+546	0.44	1.9	0.339	0.0220 96	36.8	4.4	17 72	14.3 54	-64.6	0.1 -0.4	-22.9 -44.8	0.240 4.9E-3	0.229 4.8E-3	16.6 0.3
2011-04-15.4	J0958+656	0.51	1.9	0.308	0.0218 94	36.8	4.5	-31 47	10.0 66	38.8	4.1 -0.6	-23.8 -75.8	1.50 5.6E-3	1.65 9.9E-3	17.8 0.1
2011-04-15.8	1418+546	1.08	1.9	0.313	0.0186 96	36.8	4.3	-1 73	14.3 54	102.8	1.5 -3.0	-17.6 -46.2	0.231 4.1E-3	0.234 4.7E-3	16.8 0.3
2011-04-15.9	J0958+656	1.14	1.9	0.278	0.0201 93	36.5	4.3	-31 43	10.0 66	34.2	5.1 -0.9	-24.5 -80.3	1.47 5.4E-3	1.65 7.4E-3	17.9 0.1
2011-04-15.13	1418+546	1.71	1.9	0.216	0.0191 98	36.8	4.1	-19 71	14.3 54	90.7	3.2 -4.4	-13.4 -48.9	0.234 4.1E-3	0.231 5.1E-3	16.7 0.3
2011-04-15.14	1418+546	1.75	1.9	0.244	0.0189 98	36.8	4.1	-20 71	14.3 54	90.0	2.4 -4.9	-14.2 -49.6	0.240 4.3E-3	0.253 5.8E-3	17.1 0.3
2011-04-15.15	J0958+656	1.80	1.9	0.267	0.0237 96	36.6	4.1	-31 39	10.0 66	29.7	5.3 -0.4	-26.2 -84.1	1.53 5.0E-3	1.67 0.010	17.7 0.1
2011-04-15.19	1418+546	2.38	1.9	0.281	0.0189 96	36.9	3.8	-32 68	14.3 54	80.2	4.5 -5.9	-12.0 -54.2	0.252 4.2E-3	0.260 5.0E-3	17.4 0.3
2011-04-15.20	J0958+656	2.44	1.9	0.241	0.0204 97	36.8	3.8	-30 35	10.0 66	25.6	5.7 -0.7	-27.4 -88.2	1.52 5.0E-3	1.64 7.3E-3	17.5 0.1
2011-04-15.24	1418+546	3.01	1.9	0.227	0.0204 97	36.9	3.6	-40 63	14.3 54	72.8	5.5 -7.8	-12.4 -61.2	0.240 4.1E-3	0.228 4.1E-3	16.6 0.3
2011-04-15.25	J0958+656	3.06	1.9	0.237	0.0230 97	36.9	3.6	-29 31	10.0 66	21.7	5.9 -0.3	-28.8 -91.2	1.51 6.4E-3	1.62 8.3E-3	17.4 0.1
2011-04-15.29	1418+546	3.64	1.9	0.200	0.0221 95	36.8	3.2	-44 58	14.3 54	67.1	6.7 -6.4	-13.5 -65.9	0.251 3.9E-3	0.233 5.1E-3	16.6 0.3
2011-04-15.30	J0958+656	3.69	1.9	0.240	0.0337 96	36.9	3.0	-27 28	10.0 66	17.9	7.1 0.0	-28.9 -93.9	1.47 0.011	1.57 0.011	17.1 0.1
2011-04-15.34	1418+546	4.32	1.9	0.220	0.0186 98	36.7	3.0	-47 52	14.3 54	62.0	7.2 -6.5	-16.0 -73.1	0.263 3.7E-3	0.248 4.5E-3	16.8 0.2
2011-04-15.35	J0958+656	4.38	1.9	0.170	0.0229 95	36.7	2.9	-24 24	10.0 66	13.8	6.7 0.4	-30.6 -96.3	1.36 8.6E-3	1.49 7.9E-3	17.3 0.1
2011-04-15.39	J1504+105	4.98	1.8	0.188	0.0207 93	37.9	2.9	-109 39	15.1 10	50.2	14.9 -5.6	-13.3 -75.5	0.624 5.0E-3	0.649 7.7E-3	17.3 0.1
2011-04-15.40	J1405+043	5.03	1.9	0.176	0.0252 87	38.0	2.8	-103 23	14.1 4	51.2	12.4 -3.3	-22.7 -87.8	0.103 6.8E-3	0.0960 6.2E-3	15.7 1.0
2011-04-15.43	J1504+105	5.29	1.9	0.198	0.0211 95	38.0	2.5	-105 36	15.1 10	51.6	15.0 -6.5	-14.8 -80.5	0.638 4.4E-3	0.683 7.9E-3	17.5 0.1
2011-04-15.44	J1357+193	5.34	1.9	0.196	0.0231 96	37.8	2.5	-85 27	14.0 19	57.4	12.1 -9.4	-21.5 -94.7	0.360 5.3E-3	0.358 6.6E-3	16.8 0.2
2011-04-15.45	1413+135	5.38	1.8	0.188	0.0216 96	37.9	2.5	-93 27	14.3 13	54.9	14.5 -9.8	-19.2 -93.6	0.315 5.2E-3	0.335 7.2E-3	17.3 0.3
2011-04-15.47	2136+141	5.68	1.9	0.168	0.0197 97	36.9	2.5	112 48	21.7 14	-1.3	11.6 4.4	-27.7 -56.0	0.343 3.9E-3	0.331 4.9E-3	16.9 0.2
2011-04-15.51	2136+141	6.27	1.9	0.141	0.0180 99	36.8	2.5	121 54	21.7 14	1.2	11.4 3.8	-25.2 -47.3	0.358 3.7E-3	0.352 5.1E-3	17.1 0.2
2011-04-15.55	2136+141	6.84	1.9	0.208	0.0185 99	36.9	2.7	132 60	21.7 14	5.0	11.7 3.8	-21.6 -38.6	0.358 4.0E-3	0.353 4.2E-3	17.1 0.2
# Fri Apr 15 07:13:41 UTC 2011 - IRAM alarm for network; look for possible dropouts
2011-04-15.59	2136+141	7.42	1.9	0.182	0.0178 97	36.7	3.0	148 64	21.7 14	10.7	14.1 2.6	-15.2 -31.9	0.339 3.5E-3	0.379 6.7E-3	17.8 0.2
