# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.176	1418+546	22.88	1.9	0.198	0.0148 98	37.8	2.2	41 63	14.3 54	-116.2	-0.6 3.2	-20.1 -63.5	0.250 3.7E-3	0.243 4.2E-3	16.8 0.2
2011-04-15.177	J1033+609	22.96	1.9	0.147	0.0165 99	36.8	2.2	-27 61	10.6 61	133.0	3.0 1.1	-7.2 -50.4	0.849 5.1E-3	0.869 5.5E-3	17.4 0.1
2011-04-15.181	1418+546	23.58	1.9	0.183	0.0147 98	37.6	2.5	33 68	14.3 54	-132.1	-0.3 0.8	-14.0 -54.5	0.249 4.0E-3	0.249 4.2E-3	17.1 0.3
2011-04-15.182	J1033+609	23.66	1.9	0.155	0.0151 98	37.1	2.5	-32 57	10.6 61	118.8	4.2 0.2	-9.8 -52.6	0.868 4.2E-3	0.882 5.1E-3	17.2 0.1
2011-04-16.2	1418+546	0.25	1.9	0.139	0.0146 99	36.7	2.6	20 71	14.3 54	-152.7	-1.0 -0.9	-9.6 -45.1	0.238 3.2E-3	0.235 3.9E-3	16.8 0.2
2011-04-16.3	J1033+609	0.32	1.9	0.174	0.0188 97	37.2	2.5	-36 52	10.6 61	107.4	5.2 0.5	-13.1 -55.1	0.861 5.3E-3	0.853 6.2E-3	17.2 0.1
2011-04-16.7	1418+546	0.90	1.9	0.171	0.0145 97	36.6	2.3	2 73	14.3 54	-177.8	1.7 -1.6	-4.5 -36.2	0.227 3.5E-3	0.229 3.7E-3	17.2 0.3
2011-04-16.8	J1033+609	0.96	1.9	0.196	0.0159 98	37.0	2.3	-37 48	10.6 61	97.8	5.5 0.7	-17.0 -58.3	0.886 4.7E-3	0.916 5.8E-3	17.4 0.1
2011-04-16.13	1418+546	1.63	1.9	0.219	0.0168 98	36.7	2.0	-19 71	14.3 54	153.8	4.1 -3.3	-4.6 -31.9	0.236 4.4E-3	0.241 4.2E-3	17.2 0.3
2011-04-16.14	J1033+609	1.69	1.9	0.201	0.0157 98	37.3	2.0	-38 43	10.6 61	87.9	5.2 2.0	-21.8 -61.1	0.861 4.4E-3	0.863 4.3E-3	17.3 0.1
