# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-18.65	2255-282	test	10.99	1.8	0.114	1.2743 64	37.7	-2.4	-1.90	-158 21	23.0 -28	20.3	--- ---	--- ---	--- ---	--- ---	--- ---
2012-04-18.66	2255-282	test	11.03	1.8	0.137	0.0134 101	38.2	-2.3	-1.90	-157 21	23.0 -28	20.8	-2.4 0.9	6.0 -74.9	2.70 3.1E-3	2.84 5.4E-3	19.2 0.0
# Wed Apr 18 11:15:19 UTC 2012 - Cap on from scan 66 (AKO)
# Wed Apr 18 11:18:14 UTC 2012 - Recycling (AKO)
# Wed Apr 18 15:05:58 UTC 2012 - Tetsing noise in various configurations and blanking plate. #69-#71 are default IRIG config.  (DjB)
# Wed Apr 18 15:06:18 UTC 2012 - #72-#74 will be with IRIG 5s cable disconnected.  (DjB)
# Wed Apr 18 15:16:35 UTC 2012 - Disconnected house IRIG.  Taking #75-77.  (DjB)
# Wed Apr 18 15:35:48 UTC 2012 - New state: House IRIG connected, 5s Time Trace disconnected.  (DjB)
2012-04-18.78	0727-115	test	15.61	1.8	0.240	0.0160 99	38.2	-2.4	-1.90	139 31	7.5 -12	-32.0	3.6 -1.8	4.2 -65.5	0.788 3.1E-3	0.851 5.4E-3	19.2 0.1
2012-04-18.79	0727-115	test	15.65	1.8	0.280	0.0149 101	38.1	-2.6	-1.90	140 32	7.5 -12	-31.6	3.3 -0.4	3.9 -63.5	0.851 2.9E-3	0.886 4.8E-3	19.0 0.1
2012-04-18.80	0727-115	test	15.69	1.8	0.280	0.0131 102	38.2	-2.5	-1.90	140 32	7.5 -12	-31.1	3.0 -2.2	3.7 -65.4	0.881 3.0E-3	0.891 4.3E-3	18.7 0.1
# Wed Apr 18 15:48:27 UTC 2012 - Still some noise seen... isolator on for scans #81-#83 for test.  (DjB)
2012-04-18.81	0727-115	test	15.81	1.9	0.270	0.0137 101	37.1	-2.8	-1.90	142 33	7.5 -12	-29.8	0.5 -5.5	1.5 -67.7	0.875 3.1E-3	0.926 5.6E-3	19.2 0.1
2012-04-18.82	0727-115	test	15.85	1.8	0.318	0.0148 99	38.1	-2.8	-1.90	143 33	7.5 -12	-29.3	2.6 1.1	3.7 -61.0	0.876 3.4E-3	0.932 6.3E-3	19.3 0.1
2012-04-18.83	0727-115	test	15.89	2.0	0.268	0.0145 101	37.1	-2.6	-1.90	143 33	7.5 -12	-28.9	2.0 -0.8	3.2 -63.2	0.873 3.5E-3	0.896 4.5E-3	18.9 0.1
2012-04-18.84	0528+134	test	15.97	1.0	0.268	0.0129 102	37.3	-2.5	-1.90	-179 66	5.5 14	1.2	4.5 -4.0	14.1 -46.3	1.65 3.6E-3	1.81 6.7E-3	18.9 0.0
# Wed Apr 18 16:00:31 UTC 2012 - Scans #84-86 are focus at -1.9/-2.4/-1.4.  (DjB)
2012-04-18.85	0528+134	test	16.01	0.8	0.273	0.0128 102	38.1	-2.5	-2.40	-178 66	5.5 14	2.2	1.7 -4.9	11.5 -47.6	1.55 4.7E-3	1.75 7.9E-3	19.4 0.1
2012-04-18.86	0528+134	test	16.03	0.8	0.273	0.0130 102	38.1	-2.9	-1.40	-177 66	5.5 14	3.0	0.6 -5.0	10.7 -47.0	1.61 4.0E-3	1.81 7.3E-3	19.1 0.0
# Wed Apr 18 16:04:44 UTC 2012 - Set new focus to -1.8.  (DjB)
2012-04-18.87	R0439+05	233-11	16.10	4.6	0.348	0.0195 77	38.2	-3.4	-1.80	-153 55	4.7 5	22.5	3.3 -0.9	18.2 -59.1	0.0393 2.7E-3	0.0327 2.0E-3	15.4 1.0
2012-04-18.88	0403-132	test	16.34	0.9	0.306	0.0118 99	36.0	-3.2	-1.80	-147 34	4.1 -13	26.3	2.0 -7.4	14.2 -81.3	0.182 3.2E-3	0.172 4.1E-3	18.6 0.3
# Wed Apr 18 17:09:42 UTC 2012 - Disconnected house IRIG before scan 88 I believe - to test noise.  Not much change.  SFM
# Wed Apr 18 17:12:15 UTC 2012 - Fog rolling in at start of scan 92 (ACE)
# Wed Apr 18 17:34:53 UTC 2012 - More fog during scan 94 (ACE)
2012-04-18.95	0823+033	test	17.75	1.9	0.327	0.0849 97	37.6	-5.1	-1.80	152 53	8.4 3	-21.8	--- ---	--- ---	--- ---	--- ---	--- ---
# Wed Apr 18 17:48:17 UTC 2012 - Reconnected house IRIG about two scans ago - SFM
# Wed Apr 18 17:52:41 UTC 2012 - Weather becoming very unstable. (ACE)
2012-04-18.96	0823+033	test	17.87	1.0	0.331	0.0222 79	36.0	-5.3	-1.80	155 53	8.4 3	-19.7	0.7 -8.4	3.4 -53.0	0.254 7.7E-3	0.254 8.9E-3	17.6 0.5
2012-04-18.97	0823+033	test	18.00	2.0	0.363	0.0252 100	37.3	-5.7	-1.80	158 54	8.4 3	-17.1	-0.3 -10.0	3.3 -53.4	0.252 5.5E-3	0.243 5.5E-3	17.5 0.4
2012-04-18.98	0923+392	test	18.23	1.9	0.420	0.0192 96	37.7	-5.5	-1.80	77 70	9.5 39	-88.0	-5.0 -7.0	-25.6 -47.5	2.39 4.7E-3	2.54 7.6E-3	18.8 0.0
# Wed Apr 18 18:24:48 UTC 2012 - Weather becoming very unstable. (ACE)
# Wed Apr 18 18:49:14 UTC 2012 - Weather extremely bad.  Stop working on science sources.  Take data (#103+) on MonR2IRS2 instead.  (DjB)
# Wed Apr 18 19:01:10 UTC 2012 - Ok, so that didn't work.  All pixels saturated!  M82 is higher...   (DjB)
#2012-04-18.107	M82	badweather	19.35	1.5	0.418	0.1206 88	38.1	-5.8	-1.80	9 56	9.9 70	-158.8	-9.1 -7.8	-22.4 -86.2	0.252 0.022	0.282 0.022	18.0 1.6
#2012-04-18.111	M82	badweather	19.89	1.8	0.901	0.0759 68	38.1	-5.8	-1.80	4 57	9.9 70	-170.7	-6.7 -7.5	-18.9 -86.6	0.318 0.023	0.410 0.025	20.4 1.4
#2012-04-18.113	M82	badweather	20.75	1.7	0.495	0.0356 53	38.2	-6.0	-1.80	-4 57	9.9 70	170.1	-12.8 -7.7	-23.0 -88.6	0.309 6.9E-3	0.422 0.012	20.6 0.4
#2012-04-18.114	M82	badweather	21.04	4.5	0.456	0.0148 102	37.7	-6.1	-1.80	-7 57	9.9 70	163.8	-6.6 -11.9	-16.1 -93.6	0.360 2.6E-3	0.599 4.0E-3	23.7 0.2
#2012-04-18.115	M82	badweather	21.13	4.3	0.439	0.0150 102	38.1	-6.1	-1.80	-7 57	9.9 70	161.9	-6.6 -12.7	-15.8 -94.6	0.351 2.6E-3	0.579 4.9E-3	23.3 0.2
#2012-04-18.116	M82	badweather	21.22	2.4	0.512	0.0132 101	37.7	-6.1	-1.80	-8 57	9.9 70	160.0	-6.0 -12.6	-15.0 -94.8	0.366 2.9E-3	0.598 4.9E-3	23.1 0.2
#2012-04-18.117	M82	badweather	21.31	4.0	0.437	0.0132 102	38.1	-6.0	-1.80	-9 57	9.9 70	158.0	-4.7 -12.6	-13.5 -95.0	0.349 2.5E-3	0.597 4.6E-3	23.9 0.2
# Wed Apr 18 21:53:20 UTC 2012 - Scans #119+ have big braid strap to Tower.  (DjB)
# Wed Apr 18 22:16:20 UTC 2012 - scans on A1348 poor (ACE)
2012-04-18.126	1253-055	test	22.57	1.8	0.459	2.2245 50	37.6	-5.8	-1.80	163 46	12.9 -6	-13.1	-0.0 -6.1	5.3 -56.1	9.66 0.82	10.2 0.60	19.4 1.6
2012-04-18.127	1253-055	test	22.63	1.8	0.459	0.1207 56	37.9	-5.7	-1.80	165 46	12.9 -6	-11.9	0.0 -5.2	5.7 -55.5	9.48 0.040	9.33 0.041	17.4 0.1
2012-04-18.128	1253-055	test	22.67	1.8	0.233	0.3478 67	37.3	-5.7	-2.80	166 46	12.9 -6	-11.3	-1.1 -3.6	4.7 -53.9	5.59 0.11	5.84 0.12	19.7 0.4
# Thu Apr 19 01:06:00 UTC 2012 - Weather getting worse with snow starting. Stowing at 3am (ACE)
#2012-04-20.3	Neptune	gismo11	9.43	0.8	0.423	0.0240 90	38.1	-1.7	-2.00	-164 41	22.3 -11	13.0	-1.8 0.7	9.7 -68.0	3.71 9.7E-3	3.96 0.015	18.5 0.0
#2012-04-20.5	Neptune	gismo11	9.64	1.0	0.407	0.0309 72	36.2	-1.7	-2.00	-160 40	22.3 -11	16.1	11.5 -5.3	23.5 -75.6	4.09 9.3E-3	4.11 0.014	18.5 0.0
#2012-04-20.7	Neptune	gismo11	9.83	1.0	0.438	0.0380 58	37.6	-1.5	-3.40	-157 39	22.3 -11	18.8	24.3 -9.1	36.6 -81.3	2.15 0.013	3.55 0.032	23.3 0.1
#2012-04-20.8	Neptune	gismo11	9.86	0.8	0.438	0.0269 58	38.3	-1.4	-1.30	-156 39	22.3 -11	19.1	17.9 -5.3	30.2 -77.9	4.35 8.3E-3	4.30 0.017	18.5 0.0
#2012-04-20.9	Neptune	gismo11	9.88	0.8	0.438	0.0322 57	38.3	-1.4	-0.60	-156 39	22.3 -11	19.5	15.5 -8.3	27.9 -81.1	3.19 0.011	3.95 0.026	20.1 0.1
#2012-04-20.11	2255-282	gismo11	9.96	0.8	0.438	0.0097 41	38.3	-1.3	-2.00	-170 24	23.0 -28	9.1	--- ---	--- ---	--- ---	--- ---	--- ---
#2012-04-20.13	2134+004	gismo11	10.13	0.9	0.422	0.0454 47	37.3	-1.3	-1.80	-132 43	21.6 1	36.3	44.4 -3.1	59.2 -82.1	0.375 6.6E-3	0.299 6.8E-3	14.8 0.3
2012-04-20.16	2251+158	test	11.13	0.8	0.377	0.0191 83	38.2	-1.4	-1.80	-121 57	22.9 16	45.3	-4.7 -3.2	12.2 -75.2	1.27 8.0E-3	1.30 0.013	18.7 0.1
2012-04-20.19	0106+013	test	11.52	1.0	0.139	0.0115 103	37.7	-1.6	-1.80	-178 55	1.1 2	1.5	-1.0 -0.9	8.8 -56.6	0.595 3.3E-3	0.647 4.4E-3	19.7 0.1
2012-04-20.42	0420-014	test	14.62	1.1	0.380	0.0122 101	36.6	1.3	-1.80	178 52	4.4 -1	-1.1	0.2 -3.1	9.3 -66.8	2.02 3.4E-3	2.19 6.6E-3	19.5 0.0
