# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.112	Mars	13.57	1.7	0.349	0.0341 66	35.7	5.3	-129 44	0.6 3	-0.0	2.8 -4.6	-6.7 -66.9	26.5 0.034	44.3 0.041	22.0 0.0
2011-04-15.113	Mars	13.63	1.9	0.348	0.0306 63	37.0	5.4	-129 44	0.6 3	19.4	-0.7 -3.3	-10.6 -66.5	31.1 0.036	45.8 0.043	20.7 0.0
2011-04-15.114	Mars	13.67	1.7	0.348	0.0329 59	35.3	5.4	-128 43	0.6 3	-0.0	2.5 -2.5	-7.6 -66.4	28.4 0.033	45.0 0.046	21.4 0.0
2011-04-15.115	Mars	13.82	1.9	0.409	0.0260 100	37.5	5.4	-125 42	0.6 3	20.3	0.9 -4.6	-10.0 -70.9	30.5 0.028	47.0 0.037	21.2 0.0
2011-04-15.116	J0112+227	13.93	1.9	0.365	0.0224 94	36.9	5.3	-110 60	1.2 23	27.2	2.1 -8.2	1.2 -58.4	0.253 4.6E-3	0.299 8.0E-3	18.3 0.3
2011-04-15.120	J0112+227	14.56	1.9	0.269	0.0232 89	37.3	5.5	-101 53	1.2 23	29.0	-2.6 -6.0	-8.4 -68.3	0.251 5.0E-3	0.269 7.1E-3	17.4 0.3
2011-04-15.121	J0112+227	14.65	1.8	0.280	0.0220 90	37.2	5.4	-100 52	1.2 23	29.2	1.0 -5.8	-5.5 -69.7	0.262 4.6E-3	0.272 4.9E-3	17.5 0.3
2011-04-15.122	J0112+227	14.84	1.9	0.242	0.0244 89	37.4	5.4	-98 49	1.2 23	29.4	-0.3 -9.9	-8.4 -77.1	0.263 5.0E-3	0.300 0.010	18.5 0.3
2011-04-15.126	J0112+227	15.49	1.9	0.288	0.0224 99	36.9	6.0	-91 42	1.2 23	29.9	1.4 -8.5	-11.7 -86.3	0.243 4.1E-3	0.254 5.1E-3	17.1 0.3
2011-04-15.130	J0112+227	16.07	1.9	0.334	0.0217 101	36.7	7.0	-86 35	1.2 23	29.8	4.3 -8.2	-13.1 -94.4	0.273 4.8E-3	0.294 6.2E-3	17.6 0.3
2011-04-15.134	J0112+227	16.70	1.9	0.341	0.0213 96	37.0	8.0	-81 27	1.2 23	29.3	1.2 -9.5	-20.5 -103.6	0.231 4.9E-3	0.243 5.4E-3	17.5 0.4
2011-04-15.135	J0405-131	16.79	1.9	0.421	0.0241 95	37.5	7.3	-144 32	4.1 -13	14.2	-1.8 -2.0	-19.0 -71.4	0.271 6.8E-3	0.295 8.8E-3	17.7 0.4
2011-04-15.136	J0920+447	16.96	1.9	0.390	0.0210 99	37.5	7.7	63 55	9.3 45	-43.2	-15.7 3.5	-52.0 -45.6	0.758 4.8E-3	0.843 7.2E-3	18.0 0.1
2011-04-15.140	J0920+447	17.46	1.9	0.378	0.0213 101	37.5	7.3	63 60	9.3 45	-45.7	-14.8 5.6	-50.0 -36.7	0.805 4.3E-3	0.888 7.4E-3	17.9 0.1
2011-04-15.144	J0920+447	18.04	1.9	0.503	0.0188 101	36.2	6.6	62 66	9.3 45	-49.3	-13.6 7.8	-47.2 -26.7	0.814 4.4E-3	0.864 6.6E-3	17.5 0.1
2011-04-15.148	J0920+447	18.65	1.9	0.487	0.0187 101	36.8	5.0	57 73	9.3 45	-54.6	-10.7 8.8	-42.5 -18.6	0.799 4.3E-3	0.831 6.4E-3	17.4 0.1
2011-04-15.152	J0920+447	19.36	1.9	0.455	0.0209 101	36.6	3.4	41 79	9.3 45	-66.2	-6.0 7.3	-34.8 -16.5	0.787 3.7E-3	0.785 6.1E-3	16.9 0.1
2011-04-15.153	J0948+004	19.57	1.9	0.518	0.0169 99	37.7	3.2	158 51	9.8 0	-8.8	-13.5 2.3	-31.6 -34.4	0.341 3.9E-3	0.321 4.1E-3	16.7 0.2
2011-04-15.154	J0948+004	19.61	1.9	0.457	0.0174 100	36.5	3.2	159 51	9.8 0	-8.5	-13.3 2.8	-31.2 -33.7	0.341 4.0E-3	0.326 4.1E-3	17.1 0.2
# Fri Apr 15 19:43:45 UTC 2011 - UT 14:36 pointing model changed
