# Time[CET]   Date          Tau         TauERR
  07:57:45    2014-10-21    0.3038      0.0082
  08:02:00    2014-10-21    0.2967      0.0145
  08:06:14    2014-10-21    0.3195      0.0253
  08:10:29    2014-10-21    0.3529      0.0159
  08:14:44    2014-10-21    0.3387      0.0103
  08:18:59    2014-10-21    0.3030      0.0202
  08:23:14    2014-10-21    0.3529      0.0148
  08:27:28    2014-10-21    0.3270      0.0116
  08:31:43    2014-10-21    0.2956      0.0162
  08:35:58    2014-10-21    0.3317      0.0101
  08:40:12    2014-10-21    0.3437      0.0178
  08:44:27    2014-10-21    0.3399      0.0146
  08:48:42    2014-10-21    0.3391      0.0097
  08:52:57    2014-10-21    0.3442      0.0230
  08:57:12    2014-10-21    0.3134      0.0077
  09:01:26    2014-10-21    0.3116      0.0128
  09:05:41    2014-10-21    0.3022      0.0140
  09:09:56    2014-10-21    0.2992      0.0121
  09:14:11    2014-10-21    0.2789      0.0170
  09:18:26    2014-10-21    0.2797      0.0141
  09:22:40    2014-10-21    0.2844      0.0117
  09:26:55    2014-10-21    0.2807      0.0134
  09:31:10    2014-10-21    0.2821      0.0408
  09:35:25    2014-10-21    0.3109      0.0193
  09:39:39    2014-10-21    0.2871      0.0155
  09:43:54    2014-10-21    0.2930      0.0124
  09:48:09    2014-10-21    0.2968      0.0164
  09:52:23    2014-10-21    0.2941      0.0157
  09:56:38    2014-10-21    0.3336      0.0135
  10:00:53    2014-10-21    0.2983      0.0094
  10:05:07    2014-10-21    0.2925      0.0179
  10:09:22    2014-10-21    0.2826      0.0101
  10:13:37    2014-10-21    0.3033      0.0105
  10:17:51    2014-10-21    0.3102      0.0131
  10:22:06    2014-10-21    0.3019      0.0127
  10:26:21    2014-10-21    0.2523      0.0222
  10:30:35    2014-10-21    0.2873      0.0075
  10:34:50    2014-10-21    0.2668      0.0098
  10:39:05    2014-10-21    0.2550      0.0152
  10:43:19    2014-10-21    0.2350      0.0182
  10:47:34    2014-10-21    0.2577      0.0151
  10:51:49    2014-10-21    0.2671      0.0087
  10:56:03    2014-10-21    0.2638      0.0151
  11:00:18    2014-10-21    0.2817      0.0111
  11:04:33    2014-10-21    0.2955      0.0104
  11:08:47    2014-10-21    0.2702      0.0109
  11:13:02    2014-10-21    0.2051      0.0239
  11:17:17    2014-10-21    0.2559      0.0139
  11:21:32    2014-10-21    0.2469      0.0132
  11:25:46    2014-10-21    0.2717      0.0123
  11:30:01    2014-10-21    0.2469      0.0153
  11:34:16    2014-10-21    0.2509      0.0096
  11:38:31    2014-10-21    0.2531      0.0429
  11:42:45    2014-10-21    0.2386      0.0459
  11:47:00    2014-10-21    0.2184      0.0177
  11:51:15    2014-10-21    0.2352      0.0243
  11:55:30    2014-10-21    0.2210      0.0258
  11:59:45    2014-10-21    0.2026      0.0198
  12:04:00    2014-10-21    0.2126      0.0244
  12:08:15    2014-10-21    0.2526      0.0271
  12:12:30    2014-10-21    0.2273      0.0167
  12:16:45    2014-10-21    0.2528      0.0218
  12:20:59    2014-10-21    0.2047      0.0129
  12:25:14    2014-10-21    0.2254      0.0135
  12:29:29    2014-10-21    0.2410      0.0204
  12:33:44    2014-10-21    0.2450      0.0158
  12:37:59    2014-10-21    0.1907      0.0165
  12:42:14    2014-10-21    0.2492      0.0163
  12:46:28    2014-10-21    0.2437      0.0122
  12:50:43    2014-10-21    0.2564      0.0177
  12:54:58    2014-10-21    0.2602      0.0126
  12:59:13    2014-10-21    0.2556      0.0140
  13:03:27    2014-10-21    0.2401      0.0199
  13:07:42    2014-10-21    0.2875      0.0171
  13:11:57    2014-10-21    0.3344      0.0185
  13:16:11    2014-10-21    0.3334      0.0290
  13:20:26    2014-10-21    0.3745      0.0187
  13:24:41    2014-10-21    0.3942      0.0202
  13:28:55    2014-10-21    0.3875      0.0139
  13:33:10    2014-10-21    0.3849      0.0121
  13:37:24    2014-10-21    0.3982      0.0190
  13:41:39    2014-10-21    0.3724      0.0129
  13:45:54    2014-10-21    0.3939      0.0102
  13:50:08    2014-10-21    0.4089      0.0152
  13:54:23    2014-10-21    0.3993      0.0110
  13:58:37    2014-10-21    0.4243      0.0552
  14:02:52    2014-10-21    0.4944      0.0216
  14:07:06    2014-10-21    0.4064      0.0110
  14:11:21    2014-10-21    0.4440      0.0299
  14:15:35    2014-10-21    0.3650      0.0122
  14:19:50    2014-10-21    0.4085      0.0136
  14:24:04    2014-10-21    0.4314      0.0155
  14:28:18    2014-10-21    0.5397      0.0250
  14:32:33    2014-10-21    0.4426      0.0097
  14:36:47    2014-10-21    0.4629      0.0132
  14:41:02    2014-10-21    0.4470      0.0075
  14:45:16    2014-10-21    0.4003      0.0163
  14:49:31    2014-10-21    0.4302      0.0112
  14:53:45    2014-10-21    0.4064      0.0132
  14:57:59    2014-10-21    0.5210      0.0795
  15:02:14    2014-10-21    0.4457      0.0155
  15:06:28    2014-10-21    0.4285      0.0291
  15:10:43    2014-10-21    0.4167      0.0092
  15:19:11    2014-10-21    0.4475      0.0094
  15:23:25    2014-10-21    0.4452      0.0126
  15:27:40    2014-10-21    0.4648      0.0389
  15:31:54    2014-10-21    0.4867      0.0499
  15:36:08    2014-10-21    0.4719      0.0114
  15:40:23    2014-10-21    0.4820      0.0224
