# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 211.23036 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,19]	0.965 	4.258E-4 	-	1.759	1.000	1.000	211	0	6	19
R0[6,21]	1.044 	4.379E-4 	-	1.757	1.000	1.000	213	0	6	21
R0[6,22]	1.031 	4.699E-4 	-	1.701	1.000	1.000	214	0	6	22
R0[6,23]	0.987 	3.492E-4 	-	1.650	1.000	1.000	215	0	6	23
R0[6,24]	0.000 	5.793E-3 	gn	-157.784	1.000	1.000	216	0	6	24
R0[6,25]	0.956 	4.563E-4 	-	1.646	1.000	1.000	217	0	6	25
R0[6,26]	1.038 	4.178E-4 	-	1.688	1.000	1.000	218	0	6	26
R0[7,0]	0.554 	7.709E-4 	-	2.596	1.000	1.000	224	0	7	0
R0[7,1]	0.616 	7.182E-4 	-	2.491	1.000	1.000	225	0	7	1
R0[7,2]	0.017 	6.089E-3 	gn	0.581	1.000	1.000	226	0	7	2
R0[7,3]	0.720 	5.871E-4 	-	2.253	1.000	1.000	227	0	7	3
R0[7,4]	0.936 	4.883E-4 	-	1.962	1.000	1.000	228	0	7	4
R0[7,5]	1.014 	4.290E-4 	-	1.978	1.000	1.000	229	0	7	5
R0[7,7]	0.915 	4.370E-4 	s	2.108	1.000	1.000	231	0	7	7
R0[7,8]	0.934 	4.753E-4 	-	2.036	1.000	1.000	232	0	7	8
R0[7,9]	1.038 	4.469E-4 	-	1.940	1.000	1.000	233	0	7	9
R0[7,10]	1.131 	3.945E-4 	-	1.870	1.000	1.000	234	0	7	10
R0[7,11]	1.067 	3.481E-4 	-	1.913	1.000	1.000	235	0	7	11
R0[7,12]	0.998 	4.316E-4 	-	1.850	1.000	1.000	236	0	7	12
R0[7,13]	1.034 	3.525E-4 	-	1.801	1.000	1.000	237	0	7	13
R0[7,14]	1.016 	4.060E-4 	-	1.776	1.000	1.000	238	0	7	14
R0[7,15]	1.035 	3.086E-4 	-	1.785	1.000	1.000	239	0	7	15
R0[7,16]	1.322 	3.252E-4 	-	1.460	1.000	1.000	240	0	7	16
R0[7,17]	1.044 	3.636E-4 	-	1.726	1.000	1.000	241	0	7	17
R0[7,18]	1.041 	4.007E-4 	-	1.739	1.000	1.000	242	0	7	18
R0[7,19]	1.046 	3.990E-4 	-	1.721	1.000	1.000	243	0	7	19
R0[7,21]	1.140 	3.933E-4 	-	1.686	1.000	1.000	245	0	7	21
R0[7,22]	1.141 	3.925E-4 	-	1.624	1.000	1.000	246	0	7	22
R0[7,23]	1.011 	3.590E-4 	-	1.678	1.000	1.000	247	0	7	23
R0[7,24]	0.000 	6.323E-3 	gn	-156.581	1.000	1.000	248	0	7	24
R0[7,25]	1.111 	3.899E-4 	-	1.697	1.000	1.000	249	0	7	25
R0[7,26]	1.139 	3.922E-4 	-	1.667	1.000	1.000	250	0	7	26
R0[8,0]	-0.000 	1.075E-2 	gn	278.126	1.000	1.000	256	0	8	0
R0[8,1]	0.647 	6.774E-4 	-	2.378	1.000	1.000	257	0	8	1
R0[8,2]	0.284 	2.518E-3 	g	2.641	1.000	1.000	258	0	8	2
R0[8,3]	0.750 	5.096E-4 	-	2.192	1.000	1.000	259	0	8	3
R0[8,4]	0.885 	5.266E-4 	-	2.041	1.000	1.000	260	0	8	4
R0[8,5]	0.072 	5.614E-3 	g	2.145	1.000	1.000	261	0	8	5
R0[8,7]	0.001 	9.530E-3 	gn	-12.839	1.000	1.000	263	0	8	7
R0[8,8]	0.980 	4.442E-4 	-	2.030	1.000	1.000	264	0	8	8
R0[8,9]	1.013 	4.066E-4 	-	1.972	1.000	1.000	265	0	8	9
R0[8,10]	1.122 	3.981E-4 	-	1.830	1.000	1.000	266	0	8	10
R0[8,11]	1.092 	3.904E-4 	-	1.868	1.000	1.000	267	0	8	11
R0[8,12]	1.063 	3.700E-4 	-	1.846	1.000	1.000	268	0	8	12
R0[8,13]	1.059 	4.177E-4 	-	1.782	1.000	1.000	269	0	8	13
R0[8,14]	1.041 	4.415E-4 	-	1.776	1.000	1.000	270	0	8	14
R0[8,15]	1.076 	4.013E-4 	-	1.753	1.000	1.000	271	0	8	15
R0[8,16]	1.073 	3.494E-4 	-	1.737	1.000	1.000	272	0	8	16
R0[8,17]	1.070 	4.200E-4 	-	1.718	1.000	1.000	273	0	8	17
R0[8,18]	0.852 	4.059E-4 	-	1.593	1.000	1.000	274	0	8	18
R0[8,19]	0.001 	1.182E-2 	gn	-13.910	1.000	1.000	275	0	8	19
R0[8,21]	0.000 	7.440E-3 	gn	-72.535	1.000	1.000	277	0	8	21
R0[8,22]	1.339 	2.886E-4 	-	1.513	1.000	1.000	278	0	8	22
R0[8,23]	1.068 	3.966E-4 	-	1.668	1.000	1.000	279	0	8	23
R0[8,24]	0.000 	6.295E-3 	gn	-144.800	1.000	1.000	280	0	8	24
R0[8,25]	0.951 	4.006E-4 	-	1.665	1.000	1.000	281	0	8	25
R0[8,26]	0.000 	6.306E-3 	gn	-103.106	1.000	1.000	282	0	8	26
R0[9,0]	0.723 	2.991E-6 	n	1.483	1.000	1.000	288	0	9	0
R0[9,1]	0.402 	1.409E-3 	-	2.709	1.000	1.000	289	0	9	1
R0[9,2]	0.770 	4.483E-4 	-	2.226	1.000	1.000	290	0	9	2
R0[9,3]	0.813 	4.850E-4 	-	2.127	1.000	1.000	291	0	9	3
R0[9,4]	0.928 	4.709E-4 	s	1.980	1.000	1.000	292	0	9	4
R0[9,5]	0.746 	6.154E-4 	-	1.491	1.000	1.000	293	0	9	5
R0[9,7]	0.955 	4.061E-4 	-	2.059	1.000	1.000	295	0	9	7
R0[9,8]	0.984 	2.782E-4 	-	2.031	1.000	1.000	296	0	9	8
