# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_80-047
# Object: omc1_c
# Date: 2016-12-03T07:43:50.590 (MJD: 57725.32291405092)
# Project: 88_0005_80
# Exposure: 83.89583999999999 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 130d08m04.31s 37d14m20.20s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[4,16]	1.097 	4.696E-4 	-	1.914	1.000	1.000	144	0	4	16
R0[4,17]	1.004 	5.761E-4 	-	1.955	1.000	1.000	145	0	4	17
R0[4,18]	1.057 	5.791E-4 	-	1.874	1.000	1.000	146	0	4	18
R0[4,19]	0.001 	3.355E-3 	gn	-8.469	1.000	1.000	147	0	4	19
R0[4,21]	0.244 	3.808E-3 	g	1.867	1.000	1.000	149	0	4	21
R0[4,22]	0.953 	5.765E-4 	-	1.858	1.000	1.000	150	0	4	22
R0[4,23]	0.997 	4.028E-4 	-	1.844	1.000	1.000	151	0	4	23
R0[4,24]	0.000 	3.650E-3 	gn	-38.940	1.000	1.000	152	0	4	24
R0[4,25]	0.963 	5.523E-4 	-	1.832	1.000	1.000	153	0	4	25
R0[4,26]	0.924 	6.835E-4 	-	1.862	1.000	1.000	154	0	4	26
R0[5,0]	0.744 	7.252E-4 	-	2.631	1.000	1.000	160	0	5	0
R0[5,1]	0.809 	6.144E-4 	-	2.408	1.000	1.000	161	0	5	1
R0[5,2]	0.641 	6.366E-4 	-	2.829	1.000	1.000	162	0	5	2
R0[5,3]	0.756 	7.098E-4 	-	2.559	1.000	1.000	163	0	5	3
R0[5,4]	0.786 	7.863E-4 	-	2.461	1.000	1.000	164	0	5	4
R0[5,5]	0.836 	6.782E-4 	-	2.404	1.000	1.000	165	0	5	5
R0[5,7]	0.847 	5.988E-4 	-	2.275	1.000	1.000	167	0	5	7
R0[5,8]	0.034 	4.894E-3 	g	1.051	1.000	1.000	168	0	5	8
R0[5,9]	0.913 	5.497E-4 	-	2.100	1.000	1.000	169	0	5	9
R0[5,10]	0.947 	5.719E-4 	-	2.109	1.000	1.000	170	0	5	10
R0[5,11]	0.977 	4.106E-4 	-	2.107	1.000	1.000	171	0	5	11
R0[5,12]	0.001 	5.986E-3 	gn	-2.703	1.000	1.000	172	0	5	12
R0[5,13]	0.965 	4.827E-4 	-	1.937	1.000	1.000	173	0	5	13
R0[5,14]	1.067 	4.705E-4 	-	1.839	1.000	1.000	174	0	5	14
R0[5,15]	1.139 	3.418E-4 	-	1.877	1.000	1.000	175	0	5	15
R0[5,16]	1.433 	3.452E-4 	-	1.573	1.000	1.000	176	0	5	16
R0[5,17]	1.144 	5.480E-4 	-	1.836	1.000	1.000	177	0	5	17
R0[5,18]	1.082 	5.941E-4 	-	1.895	1.000	1.000	178	0	5	18
R0[5,19]	1.036 	4.855E-4 	-	1.860	1.000	1.000	179	0	5	19
R0[5,21]	0.962 	6.397E-4 	-	1.905	1.000	1.000	181	0	5	21
R0[5,22]	0.991 	4.881E-4 	-	1.828	1.000	1.000	182	0	5	22
R0[5,23]	1.005 	6.134E-4 	-	1.788	1.000	1.000	183	0	5	23
R0[5,24]	0.000 	3.683E-3 	gn	-78.453	1.000	1.000	184	0	5	24
R0[5,25]	1.015 	5.111E-4 	-	1.696	1.000	1.000	185	0	5	25
R0[5,26]	0.652 	1.312E-3 	-	1.672	1.000	1.000	186	0	5	26
R0[6,0]	0.654 	8.402E-4 	-	2.907	1.000	1.000	192	0	6	0
R0[6,1]	0.662 	5.719E-4 	-	2.749	1.000	1.000	193	0	6	1
R0[6,2]	0.630 	6.618E-4 	-	2.826	1.000	1.000	194	0	6	2
R0[6,3]	1.069 	1.930E-4 	-	2.583	1.000	1.000	195	0	6	3
R0[6,4]	0.868 	1.203E-6 	n	2.675	1.000	1.000	196	0	6	4
R0[6,5]	1.148 	3.869E-4 	-	1.987	1.000	1.000	197	0	6	5
R0[6,7]	0.842 	7.880E-4 	-	2.337	1.000	1.000	199	0	6	7
R0[6,8]	0.883 	5.841E-4 	-	2.196	1.000	1.000	200	0	6	8
R0[6,9]	0.936 	6.819E-4 	-	2.134	1.000	1.000	201	0	6	9
R0[6,10]	1.024 	2.753E-4 	-	2.080	1.000	1.000	202	0	6	10
R0[6,11]	0.002 	6.813E-3 	gn	0.134	1.000	1.000	203	0	6	11
R0[6,12]	0.928 	5.031E-4 	-	2.101	1.000	1.000	204	0	6	12
R0[6,13]	0.959 	6.466E-4 	-	1.999	1.000	1.000	205	0	6	13
R0[6,14]	0.993 	5.647E-4 	-	1.891	1.000	1.000	206	0	6	14
R0[6,15]	1.054 	4.346E-4 	-	1.849	1.000	1.000	207	0	6	15
R0[6,16]	1.196 	7.441E-5 	-	1.711	1.000	1.000	208	0	6	16
R0[6,17]	0.002 	6.929E-3 	gn	-11.673	1.000	1.000	209	0	6	17
R0[6,18]	0.002 	1.112E-3 	gn	-14.351	1.000	1.000	210	0	6	18
R0[6,19]	0.941 	1.178E-4 	-	1.956	1.000	1.000	211	0	6	19
R0[6,21]	1.020 	5.695E-4 	-	1.836	1.000	1.000	213	0	6	21
R0[6,22]	1.022 	2.939E-4 	-	1.821	1.000	1.000	214	0	6	22
R0[6,23]	0.971 	6.214E-4 	-	1.776	1.000	1.000	215	0	6	23
R0[6,24]	0.000 	3.930E-3 	gn	-82.017	1.000	1.000	216	0	6	24
R0[6,25]	0.942 	7.465E-4 	-	1.785	1.000	1.000	217	0	6	25
R0[6,26]	1.013 	6.099E-4 	-	1.865	1.000	1.000	218	0	6	26
R0[7,0]	0.264 	3.396E-3 	g	3.162	1.000	1.000	224	0	7	0
R0[7,1]	0.452 	1.327E-3 	-	2.936	1.000	1.000	225	0	7	1
R0[7,2]	0.018 	5.503E-3 	gn	2.695	1.000	1.000	226	0	7	2
R0[7,3]	0.691 	8.960E-4 	-	2.630	1.000	1.000	227	0	7	3
R0[7,4]	0.913 	5.001E-4 	-	2.257	1.000	1.000	228	0	7	4
R0[7,5]	0.995 	4.912E-4 	-	2.162	1.000	1.000	229	0	7	5
R0[7,7]	0.891 	6.721E-4 	-	2.247	1.000	1.000	231	0	7	7
R0[7,8]	0.916 	5.969E-4 	-	2.169	1.000	1.000	232	0	7	8
R0[7,9]	1.000 	6.546E-4 	-	2.086	1.000	1.000	233	0	7	9
R0[7,10]	1.100 	5.857E-4 	-	2.012	1.000	1.000	234	0	7	10
R0[7,11]	1.051 	4.745E-4 	-	2.078	1.000	1.000	235	0	7	11
R0[7,12]	0.965 	6.520E-4 	-	2.087	1.000	1.000	236	0	7	12
R0[7,13]	1.006 	5.486E-4 	-	1.973	1.000	1.000	237	0	7	13
R0[7,14]	0.989 	6.015E-4 	-	1.935	1.000	1.000	238	0	7	14
R0[7,15]	1.006 	5.047E-4 	-	1.930	1.000	1.000	239	0	7	15
R0[7,16]	1.279 	4.256E-4 	-	1.513	1.000	1.000	240	0	7	16
R0[7,17]	1.015 	5.308E-4 	-	1.782	1.000	1.000	241	0	7	17
R0[7,18]	1.015 	6.072E-4 	-	1.859	1.000	1.000	242	0	7	18
R0[7,19]	1.016 	5.979E-4 	-	1.816	1.000	1.000	243	0	7	19
R0[7,21]	1.118 	5.654E-4 	-	1.806	1.000	1.000	245	0	7	21
R0[7,22]	1.112 	5.170E-4 	-	1.714	1.000	1.000	246	0	7	22
R0[7,23]	0.999 	5.896E-4 	-	1.770	1.000	1.000	247	0	7	23
R0[7,24]	0.000 	3.843E-3 	gn	-77.429	1.000	1.000	248	0	7	24
R0[7,25]	1.087 	5.971E-4 	-	1.771	1.000	1.000	249	0	7	25
R0[7,26]	1.111 	3.330E-4 	-	1.836	1.000	1.000	250	0	7	26
R0[8,0]	0.000 	6.360E-3 	gn	8.826	1.000	1.000	256	0	8	0
R0[8,1]	0.614 	1.175E-3 	-	2.906	1.000	1.000	257	0	8	1
R0[8,2]	0.154 	5.593E-3 	g	3.183	1.000	1.000	258	0	8	2
R0[8,3]	0.769 	8.647E-4 	-	2.543	1.000	1.000	259	0	8	3
R0[8,4]	0.877 	7.470E-4 	-	2.363	1.000	1.000	260	0	8	4
R0[8,5]	0.006 	4.599E-3 	gn	6.675	1.000	1.000	261	0	8	5
R0[8,7]	0.002 	6.471E-3 	gn	0.376	1.000	1.000	263	0	8	7
R0[8,8]	0.972 	5.487E-4 	-	2.143	1.000	1.000	264	0	8	8
R0[8,9]	1.015 	5.500E-4 	-	2.104	1.000	1.000	265	0	8	9
R0[8,10]	1.112 	4.701E-4 	-	1.983	1.000	1.000	266	0	8	10
R0[8,11]	1.077 	4.271E-4 	-	1.892	1.000	1.000	267	0	8	11
R0[8,12]	1.069 	4.703E-4 	-	1.998	1.000	1.000	268	0	8	12
R0[8,13]	1.051 	5.625E-4 	-	1.949	1.000	1.000	269	0	8	13
R0[8,14]	1.041 	5.176E-4 	-	1.940	1.000	1.000	270	0	8	14
R0[8,15]	1.062 	5.333E-4 	-	1.910	1.000	1.000	271	0	8	15
R0[8,16]	1.067 	4.956E-4 	-	1.848	1.000	1.000	272	0	8	16
R0[8,17]	1.059 	5.763E-4 	-	1.834	1.000	1.000	273	0	8	17
R0[8,18]	0.852 	5.542E-4 	-	1.675	1.000	1.000	274	0	8	18
R0[8,19]	0.002 	7.427E-3 	gn	-9.418	1.000	1.000	275	0	8	19
R0[8,21]	-0.000 	4.760E-3 	gn	371.925	1.000	1.000	277	0	8	21
R0[8,22]	1.321 	3.292E-4 	-	1.496	1.000	1.000	278	0	8	22
R0[8,23]	1.067 	5.842E-4 	-	1.825	1.000	1.000	279	0	8	23
R0[8,24]	0.000 	3.750E-3 	gn	-446.530	1.000	1.000	280	0	8	24
R0[8,25]	0.961 	5.724E-4 	-	1.795	1.000	1.000	281	0	8	25
R0[8,26]	-0.000 	3.750E-3 	gn	168.769	1.000	1.000	282	0	8	26
R0[9,0]	0.854 	7.875E-7 	n	1.133	1.000	1.000	288	0	9	0
R0[9,1]	0.229 	3.844E-3 	g	3.265	1.000	1.000	289	0	9	1
R0[9,2]	0.791 	5.504E-4 	-	2.547	1.000	1.000	290	0	9	2
R0[9,3]	0.826 	7.161E-4 	-	2.482	1.000	1.000	291	0	9	3
R0[9,4]	0.933 	5.072E-4 	-	2.229	1.000	1.000	292	0	9	4
R0[9,5]	0.756 	8.140E-4 	-	1.740	1.000	1.000	293	0	9	5
R0[9,7]	0.957 	5.102E-4 	-	2.199	1.000	1.000	295	0	9	7
R0[9,8]	0.985 	3.663E-4 	-	2.147	1.000	1.000	296	0	9	8
R0[9,9]	0.996 	5.073E-4 	-	2.117	1.000	1.000	297	0	9	9
R0[9,10]	1.058 	5.567E-4 	-	1.984	1.000	1.000	298	0	9	10
R0[9,11]	1.060 	4.742E-4 	-	1.947	1.000	1.000	299	0	9	11
R0[9,12]	1.052 	5.616E-4 	-	2.025	1.000	1.000	300	0	9	12
R0[9,13]	1.033 	6.075E-4 	-	1.970	1.000	1.000	301	0	9	13
R0[9,14]	1.070 	5.633E-4 	-	1.952	1.000	1.000	302	0	9	14
R0[9,15]	1.090 	5.364E-4 	-	1.939	1.000	1.000	303	0	9	15
R0[9,16]	1.143 	4.796E-4 	-	1.865	1.000	1.000	304	0	9	16
R0[9,17]	0.002 	7.322E-3 	gn	-7.276	1.000	1.000	305	0	9	17
